abrt-addon-ccpp            	-rwsr-sr-x	abrt      	abrt      	/usr/libexec/abrt-action-install-debuginfo-to-abrt-cache
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sq
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sr
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/st
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sv
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sw
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ta
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/te
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/templates
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/th
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/tl
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/tr
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ug
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/uk
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ur
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/uz
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ve
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/vi
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/wo
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/xh
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/zh_CN
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/zh_HK
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/zh_TW
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/zu
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/af
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ak
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/am
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/am/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ar
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ar/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ast
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/az
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/az/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/bg
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ca
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ca/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/cs
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/cs/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/da
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/da/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/de
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/eo
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/eo/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/es
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/es/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/eu
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/eu/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/fa
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/fa/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ff
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/fr
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/fr/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ga
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/gl
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/hi
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/hi/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/hu
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/hu/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/is
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/it
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/it/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ja
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ja/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/km
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/kn
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/kn/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ko
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ku
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ku/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/lg
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ln
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/lt
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/mk
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/mk/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/mr
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/mr/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ms
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ms/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/nb
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/nb/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/nl
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/nl/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/nn
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/nn/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/nso
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/or
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pa
